# Planet Mass (M_E),  Planet Radius (R_E)
0.20007105257054320       0.62509774544744079     
0.33376758265998374       0.72596187021884317     
0.55665802071592585       0.84229057117723105     
0.92860137800394160       0.97588290323581650     
1.5491736530051181        1.1274512901162019     
2.5835526434280385        1.2973206652685971     
4.3100232110886170        1.4849702790087740     
7.1655543282607264        1.6846961948060861     
11.991962169355535        1.9010859869601540     
20.003016663425068        2.1157795817354175    
